"","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18"
"1","F","Cost","Benefit","Benefit","Benefit","Benefit","Benefit","Benefit","Benefit","Benefit","Benefit","Benefit","Benefit","Cost","Benefit","Benefit","Benefit","Benefit"
"2","W","0.047","0.065","0.053","0.062","0.07","0.058","0.06","0.066","0.066","0.046","0.042","0.058","0.048","0.066","0.059","0.068","0.066"
"3","C","Price (US$)","Autonomy (minutes)","Speed VNE (Knots)","Maximum number of people on board","Versatility","Number of engines","System redundancy","Maximum take-off weight (Kg)","Payload (Kg)","Capacity for instrument flights","Autopilot","Embedded technology","Length (meters)","Engine power","Aftermarket","Availability","Protection"
"4","Airbus H125 B3 (Squirrel)","4826857","200","155","6.0","4.7","1.0","3.0","2250","976","1.8","2.0","3.6","10.9","4.5","4.0","4.0","1.7"
"5","Airbus H125 B2 (Squirrel)","1500000","200","155","6.0","4.6","1.0","2.7","2250","1000","1.8","1.6","2.8","10.9","3.9","3.9","3.9","1.8"
"6","Airbus H355 (Twin-Engine Squirrel)","1500000","200","150","6.0","4.5","2.0","3.2","2600","930","2.2","3.0","3.2","11.0","3.5","3.5","3.7","1.7"
"7","Airbus EC 145 (BK-117 C2)","9000000","210","150","11.0","3.8","2.0","4.0","3585","1905","3.5","3.5","3.8","13.0","3.3","3.3","4.0","1.3"
"8","Airbus EC 135","6000000","216","136","8.0","3.8","2.0","4.0","2980","1418","3.5","3.5","3.8","12.3","3.3","3.3","5.0","1.3"
"9","Airbus EC 120 (Hummingbird)","795000","312","150","6.0","3.0","1.0","2.0","1715","755","2.0","1.0","3.0","9.6","2.5","3.0","4.0","1.5"
"10","Bell UH-1H (Huey II)","8420000","120","130","13.0","4.2","1.0","2.4","4772","2300","2.4","2.2","2.8","13.3","3.9","2.3","2.1","4.3"
"11","Bell 206 (Long Ranger)","2000000","222","130","7.0","3.0","1.0","1.0","1451","600","1.0","1.0","2.0","8.7","2.0","3.0","3.0","1.0"
"12","Bell 412","6000000","228","124","15.0","4.0","2.0","4.0","5400","2327","3.0","4.0","4.0","14.2","4.0","3.0","3.0","3.0"
"13","Bell 429","7000000","270","155","8.0","5.0","2.0","4.0","3402","1476","3.0","4.0","4.0","13.0","4.0","3.0","4.0","2.0"
"14","Leonardo AW 119 Kx","3600000","312","152","8.0","5.0","1.0","3.3","2850","908","3.0","3.0","4.3","13.0","4.0","4.0","4.0","4.0"
"15","Leonardo AW 139","12000000","260","167","17.0","5.0","2.0","5.0","6800","2300","4.5","5.0","4.5","16.6","4.0","4.0","4.5","3.0"
"16","Robinson 44","450000","200","130","4.0","2.5","1.0","1.0","1134","320","1.0","1.0","1.0","9.0","2.0","4.0","4.5","1.0"
"17","Robinson 66","1260000","180","140","5.0","3.0","1.0","1.0","1225","420","1.0","1.0","3.0","9.0","3.0","3.0","4.0","1.0"
"18","Sikorsky UH-60 (Black Hawk)","25000000","468","159","14.0","5.0","2.0","4.7","10660","4100","4.6","3.8","4.4","20.0","5.0","4.3","4.8","5.0"
